state,model,subscription,price
Virginia,HP LaserJet M806X,9 months of Instant Ink,149.05258
Missouri,HP Laserjet M611dn,9 months of Instant Ink,130.2069
New Mexico,HP ColorLaserJet 255dw,6 months of Instant Ink,90.19861
Minnesota,HP LaserJet P4015,3 months of Instant Ink,107.65175
South Dakota,HP LaserJet 600 M601,6 months of Instant Ink,122.17121
Montana,HP ColorLaserJet 255dw,no free month,82.57074
Louisiana,HP Laserjet Enterprise M554,6 months of Instant Ink,105.63421
Georgia,HP Color LaserJet CP4520 Series,9 months of Instant Ink,25.796247
Massachusetts,HP LaserJet M806,3 months of Instant Ink,95.83487
Mississippi,HP LaserJet 500 color M551,no free month,84.16501
West Virginia,HP LaserJet M806,3 months of Instant Ink,148.61122
Ohio,HP Color LaserJet CP5225n,3 months of Instant Ink,79.745514
Louisiana,HP LaserJet 700 M712,6 months of Instant Ink,80.7093
New Mexico,HP Color LaserJet M555dn,6 months of Instant Ink,76.16163
New York,HP LaserJet 600 M602,3 months of Instant Ink,103.50765
New Mexico,HP ColorLaserJet 255dw,9 months of Instant Ink,91.87358
Connecticut,HP ColorLaserJet 255dw,6 months of Instant Ink,41.984344
Kansas,hp color LaserJet 5550,9 months of Instant Ink,118.211815
Vermont,HP LaserJet 500 color M551,no free month,130.2857
New Hampshire,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,78.11842
Idaho,HP LaserJet M806,6 months of Instant Ink,80.440506
Alabama,HP Color LaserJet M555x,3 months of Instant Ink,12.891918
Maine,HP LaserJet 5200,3 months of Instant Ink,73.32771
South Dakota,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,110.136375
Illinois,HP LaserJet M607,3 months of Instant Ink,73.49233
Wisconsin,HP Color Laserjet Pro MFP m479fdw ,no free month,131.04094
Florida,HP Color Laserjet Pro MFP m479fdw ,no free month,45.75502
Minnesota,HP Laserjet M551,9 months of Instant Ink,123.9289
Kentucky,HP Laserjet M611dn,6 months of Instant Ink,113.86766
Texas,hp LaserJet 4350,3 months of Instant Ink,163.17038
Hawaii,hp color LaserJet 5550,6 months of Instant Ink,106.85883
Vermont,HP Color LaserJet M611X,no free month,114.241554
Delaware,HP Laserjet M501dn,no free month,93.32868
Virginia,HP Color Laserjet Pro MFP m479fdn,9 months of Instant Ink,120.77747
Pennsylvania,HP LaserJet M610,9 months of Instant Ink,127.50835
Idaho,HP LaserJet M610,no free month,80.50103
Wyoming,HP Color LaserJet M555dn,6 months of Instant Ink,118.28354
New Mexico,HP LaserJet M610,no free month,114.943344
Arkansas,HP Color LaserJet M555x,3 months of Instant Ink,18.931705
Wisconsin,HP Color Laserjet Pro MFP m479fdn,no free month,129.03543
Michigan,HP Laserjet M425dn,9 months of Instant Ink,116.63576
Tennessee,HP LaserJet 5200,no free month,125.70822
Oklahoma,HP Laserjet Enterprise M554,9 months of Instant Ink,139.02597
Arizona,HP Laserjet M611dn,3 months of Instant Ink,85.503296
Texas,HP Laserjet M611dn,3 months of Instant Ink,160.5467
Maine,HP Color LaserJet M611X,3 months of Instant Ink,52.164097
Ohio,HP Laserjet M551,9 months of Instant Ink,145.15483
New Hampshire,HP LaserJet P4015,no free month,121.90953
Vermont,HP Laserjet Enterprise M554,6 months of Instant Ink,154.90648
Wyoming,HP LaserJet P3010 Series,no free month,161.28404
Mississippi,HP LaserJet 600 M602,3 months of Instant Ink,88.0001
Tennessee,HP LaserJet 600 M602,6 months of Instant Ink,126.42546
North Carolina,HP LaserJet P3010 Series,3 months of Instant Ink,123.33091
Rhode Island,HP LaserJet 500 color M551,no free month,117.119736
California,hp LaserJet 4350,no free month,95.75412
Georgia,HP Laserjet M611dn,9 months of Instant Ink,101.07422
Kentucky,HP LaserJet 500 color M551,9 months of Instant Ink,69.20828
New Mexico,HP Color Laserjet Pro MFP 4301,no free month,87.53198
Arizona,HP LaserJet P4015,3 months of Instant Ink,69.52849
Connecticut,HP Laserjet M551,3 months of Instant Ink,90.026
Kansas,HP Color Laserjet M751,9 months of Instant Ink,50.932976
Ohio,HP Color Laserjet M751,no free month,94.30379
New York,HP Color LaserJet M611X,6 months of Instant Ink,82.36536
Minnesota,HP LaserJet P3010 Series,no free month,108.52728
Alaska,HP Color LaserJet CP5520 Series,9 months of Instant Ink,13.229741
Iowa,HP Laserjet M501dn,no free month,107.29603
Alabama,hp color LaserJet 5550,9 months of Instant Ink,90.00257
New Mexico,HP Color LaserJet CP5225n,no free month,75.81325
Connecticut,HP LaserJet 600 M601,6 months of Instant Ink,54.699863
North Carolina,HP LaserJet 5200,6 months of Instant Ink,102.69182
Rhode Island,HP Laserjet Enterprise M554,9 months of Instant Ink,144.68095
South Dakota,HP LaserJet M610,no free month,135.5168
Wisconsin,HP Color LaserJet M555x,no free month,121.16036
Michigan,HP Laserjet M425dn,9 months of Instant Ink,116.63576
Alaska,HP Laserjet M551,6 months of Instant Ink,82.34298
Florida,HP Color LaserJet CP5520 Series,3 months of Instant Ink,24.20426
Louisiana,HP Color Laserjet M751,no free month,57.000183
Vermont,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,117.23873
North Dakota,HP Laserjet M611dn,9 months of Instant Ink,146.03545
Oregon,HP Laserjet M611dn,3 months of Instant Ink,149.22685
New Mexico,HP LaserJet M607,no free month,109.82315
Nebraska,HP Laserjet M425dn,9 months of Instant Ink,125.40714
Rhode Island,HP LaserJet 500 color M551,6 months of Instant Ink,113.769806
Michigan,HP LaserJet P3010 Series,no free month,106.77301
Arkansas,HP Color LaserJet CP5225n,6 months of Instant Ink,13.013227
Arkansas,HP LaserJet M610,9 months of Instant Ink,63.459206
Georgia,HP LaserJet M607,6 months of Instant Ink,68.59565
Wyoming,HP LaserJet M806,3 months of Instant Ink,152.91655
Delaware,HP LaserJet P4015,9 months of Instant Ink,81.49801
Iowa,HP LaserJet 600 M601,9 months of Instant Ink,71.12257
Delaware,HP LaserJet 600 M602,9 months of Instant Ink,60.68756
Wisconsin,HP LaserJet P4015,9 months of Instant Ink,159.75284
Alabama,HP Designjet Z6 (Large Format),3 months of Instant Ink,34.12598
New Jersey,HP LaserJet M806X,no free month,118.38308
Hawaii,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,50.59772
Colorado,HP LaserJet Pro 4001dn,no free month,81.73213
Nevada,HP Laserjet Enterprise M554,6 months of Instant Ink,123.17701
Connecticut,HP ColorLaserjet Pro MFP 4301FDW,no free month,47.227264
Utah,HP LaserJet 500 color M551,no free month,128.09137
Michigan,HP Color LaserJet M555dn,3 months of Instant Ink,54.736057
Alabama,HP Laserjet M611dn,no free month,86.163925
Iowa,HP LaserJet 600 M601,no free month,72.31825
Wyoming,hp LaserJet 4350,3 months of Instant Ink,176.36542
Arkansas,HP LaserJet M607,no free month,59.72663
New Jersey,HP Color LaserJet CP5520 Series,6 months of Instant Ink,72.134705
Maryland,hp LaserJet 4350,9 months of Instant Ink,124.16462
New York,HP LaserJet 700 M712,no free month,109.74954
Vermont,HP ColorLaserjet Pro MFP 4301FDW,no free month,126.274666
Oklahoma,HP Designjet Z6 (Large Format),3 months of Instant Ink,103.610565
Alabama,HP LaserJet M806X,9 months of Instant Ink,63.481823
New Jersey,HP Designjet Z6 (Large Format),6 months of Instant Ink,92.0083
Minnesota,HP ColorLaserJet 255dw,no free month,75.95734
Alabama,HP Color LaserJet CP5520 Series,3 months of Instant Ink,7.6251016
California,HP LaserJet 700 M712,6 months of Instant Ink,55.934105
New Mexico,HP LaserJet M806X,6 months of Instant Ink,118.02171
New Jersey,HP LaserJet 700 M712,3 months of Instant Ink,101.93379
Montana,HP LaserJet 5200,3 months of Instant Ink,86.5568
Alaska,HP Color LaserJet M611X,3 months of Instant Ink,17.363672
South Carolina,HP Color LaserJet CP5520 Series,9 months of Instant Ink,95.94723
Nebraska,HP Color LaserJet CP4520 Series,no free month,65.133064
Iowa,HP LaserJet 600 M601,3 months of Instant Ink,68.69259
Wyoming,HP Color LaserJet CP4520 Series,9 months of Instant Ink,114.5762
California,HP LaserJet Pro 4001dn,6 months of Instant Ink,77.08364
Alabama,HP LaserJet M806X,no free month,64.97739
Arkansas,HP LaserJet P4015,6 months of Instant Ink,72.59775
Arizona,HP Color Laserjet Pro MFP m479fdw ,no free month,34.637863
Pennsylvania,HP Color LaserJet M555dn,9 months of Instant Ink,93.32089
Montana,HP Color LaserJet CP4520 Series,no free month,62.9153
Oregon,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,95.673065
Texas,HP LaserJet M806,6 months of Instant Ink,139.13045
Arizona,HP LaserJet 600 M602,6 months of Instant Ink,49.60403
Nevada,HP LaserJet M610,6 months of Instant Ink,107.119354
Wyoming,hp LaserJet 4350,no free month,179.6189
Idaho,HP LaserJet 600 M601,9 months of Instant Ink,65.859726
Oklahoma,HP LaserJet 5200,no free month,112.51978
Louisiana,HP LaserJet 500 color M551,3 months of Instant Ink,68.81904
Washington,hp color LaserJet 5550,9 months of Instant Ink,175.50308
West Virginia,HP LaserJet M806,9 months of Instant Ink,151.32341
Ohio,HP Color Laserjet M751,3 months of Instant Ink,89.27889
Tennessee,HP LaserJet M607,6 months of Instant Ink,130.58392
Alaska,HP Laserjet M501dn,9 months of Instant Ink,81.06231
Tennessee,HP LaserJet 600 M602,6 months of Instant Ink,126.42546
South Dakota,HP LaserJet M610,3 months of Instant Ink,131.428
Minnesota,HP LaserJet M806,3 months of Instant Ink,99.34344
California,HP LaserJet M806,9 months of Instant Ink,67.87696
Arizona,HP LaserJet M806X,no free month,68.48063
Maryland,HP LaserJet 5200,no free month,78.77157
Nevada,HP Color Laserjet Pro MFP m479fdn,9 months of Instant Ink,81.27955
Delaware,HP LaserJet 700 M712,3 months of Instant Ink,60.48449
Kentucky,HP Color LaserJet M555x,no free month,50.794823
Texas,HP Laserjet M425dn,6 months of Instant Ink,153.76018
Pennsylvania,HP LaserJet 500 color M551,6 months of Instant Ink,111.57519
Wisconsin,HP LaserJet M806X,no free month,157.08087
Wyoming,HP Color LaserJet CP4520 Series,9 months of Instant Ink,114.5762
Oregon,HP LaserJet Pro 4001dn,6 months of Instant Ink,137.20279
Mississippi,HP Color LaserJet CP4520 Series,9 months of Instant Ink,56.844807
Michigan,HP LaserJet M609,3 months of Instant Ink,92.109116
New Jersey,HP Color LaserJet M555x,3 months of Instant Ink,74.29519
Texas,HP Color LaserJet M555x,6 months of Instant Ink,104.58386
Kentucky,HP LaserJet M607,9 months of Instant Ink,82.93943
Maryland,HP Color LaserJet M555dn,9 months of Instant Ink,53.697323
Maryland,HP LaserJet M806,3 months of Instant Ink,94.08059
South Carolina,HP LaserJet M607,6 months of Instant Ink,126.24855
Minnesota,HP Color LaserJet CP5520 Series,6 months of Instant Ink,56.61042
Illinois,HP Color LaserJet CP5225n,no free month,36.018597
Nevada,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,79.98071
Illinois,HP Designjet Z6 (Large Format),3 months of Instant Ink,56.87571
Kentucky,HP LaserJet M607,no free month,84.15443
Delaware,hp LaserJet 4350,9 months of Instant Ink,99.79373
Nevada,HP LaserJet 500 color M551,9 months of Instant Ink,91.2793
New York,HP Color LaserJet CP5520 Series,9 months of Instant Ink,78.20519
Delaware,HP LaserJet M806X,6 months of Instant Ink,74.8932
South Carolina,HP LaserJet 500 color M551,6 months of Instant Ink,115.964134
North Carolina,HP Color LaserJet M555dn,6 months of Instant Ink,80.59714
South Carolina,hp color LaserJet 5550,9 months of Instant Ink,162.39539
Minnesota,HP Color Laserjet M751,9 months of Instant Ink,66.296875
South Dakota,HP Color LaserJet M611X,3 months of Instant Ink,100.43238
California,HP Color LaserJet CP5225n,9 months of Instant Ink,17.07279
Maine,HP LaserJet 5200,no free month,76.88477
Alaska,HP Laserjet Enterprise M554,6 months of Instant Ink,74.35547
Florida,HP Color Laserjet M751,9 months of Instant Ink,36.189518
Washington,HP Color LaserJet M555dn,9 months of Instant Ink,113.280685
Michigan,HP LaserJet M607,3 months of Instant Ink,89.47922
Tennessee,HP Color LaserJet CP4520 Series,9 months of Instant Ink,96.81586
South Dakota,HP Laserjet M551,3 months of Instant Ink,154.15305
Minnesota,HP LaserJet 600 M601,9 months of Instant Ink,85.660416
Virginia,HP Laserjet M611dn,6 months of Instant Ink,167.28621
New Hampshire,hp LaserJet 4350,no free month,141.20845
Maine,HP Laserjet M611dn,3 months of Instant Ink,116.73516
Wyoming,HP LaserJet M806,6 months of Instant Ink,154.22177
Virginia,HP LaserJet Pro 4001dn,3 months of Instant Ink,153.19861
Missouri,HP Designjet Z6 (Large Format),no free month,84.347725
Louisiana,HP LaserJet M610,9 months of Instant Ink,90.2326
Connecticut,HP LaserJet 5200,6 months of Instant Ink,52.100006
North Carolina,HP LaserJet 600 M601,9 months of Instant Ink,106.2645
Virginia,HP LaserJet 600 M602,6 months of Instant Ink,135.1392
Illinois,HP Laserjet M425dn,3 months of Instant Ink,96.44294
Oregon,HP Laserjet M551,6 months of Instant Ink,147.70172
Maryland,HP Color LaserJet CP4520 Series,6 months of Instant Ink,46.347836
Nebraska,HP Laserjet M611dn,no free month,134.93045
Kentucky,HP LaserJet M806,9 months of Instant Ink,91.24775
Texas,HP Laserjet M551,6 months of Instant Ink,159.00752
Colorado,HP LaserJet 5200,6 months of Instant Ink,50.114376
New York,HP LaserJet P4015,9 months of Instant Ink,126.268654
Tennessee,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,110.65575
Utah,HP Color Laserjet Pro MFP 4301,no free month,116.05826
Tennessee,HP Color Laserjet M751,6 months of Instant Ink,106.314156
Mississippi,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,76.87895
Ohio,HP LaserJet M806X,6 months of Instant Ink,125.56172
Arkansas,HP Color LaserJet M611X,3 months of Instant Ink,21.620726
Oregon,HP Color LaserJet M555x,6 months of Instant Ink,91.331474
Mississippi,HP Laserjet M425dn,9 months of Instant Ink,120.14431
Oklahoma,HP Color LaserJet M555dn,no free month,90.52037
Alaska,hp LaserJet 4350,3 months of Instant Ink,86.43935
Washington,HP LaserJet P3010 Series,3 months of Instant Ink,150.77254
Maryland,HP Color LaserJet M555dn,3 months of Instant Ink,50.347393
North Dakota,HP LaserJet 500 color M551,3 months of Instant Ink,101.34356
Massachusetts,HP Designjet Z6 (Large Format),9 months of Instant Ink,74.15507
New York,HP LaserJet 500 color M551,no free month,101.725815
Mississippi,HP Color LaserJet M555x,6 months of Instant Ink,62.805187
Delaware,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,46.549873
Nebraska,HP Laserjet Enterprise M554,3 months of Instant Ink,120.20773
Louisiana,HP Color Laserjet Pro MFP m479fdn,no free month,60.982807
Arkansas,HP LaserJet Pro 4001dn,9 months of Instant Ink,76.63024
North Dakota,HP Laserjet M425dn,3 months of Instant Ink,135.70732
North Dakota,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,94.77607
Alaska,HP Laserjet M425dn,3 months of Instant Ink,75.78936
Colorado,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,43.82727
Louisiana,HP Color LaserJet M611X,6 months of Instant Ink,51.644737
Vermont,HP LaserJet M806,3 months of Instant Ink,142.15324
Rhode Island,HP Laserjet M425dn,6 months of Instant Ink,146.22015
New Mexico,HP LaserJet M806,no free month,117.56704
New Jersey,HP Color LaserJet CP5520 Series,9 months of Instant Ink,73.76969
Rhode Island,HP Color LaserJet M611X,9 months of Instant Ink,99.400604
California,HP LaserJet M806X,3 months of Instant Ink,67.831215
Texas,HP Laserjet M611dn,9 months of Instant Ink,162.7157
New York,HP LaserJet M806,9 months of Instant Ink,118.36754
Arkansas,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,39.95939
Utah,HP Color Laserjet Pro MFP m479fdw ,no free month,120.069305
Kansas,HP Color Laserjet Pro MFP 4301,no free month,54.597782
Florida,HP LaserJet P4015,6 months of Instant Ink,82.08002
Arkansas,HP Laserjet M551,no free month,88.702896
Hawaii,HP Laserjet Enterprise M554,6 months of Instant Ink,91.25102
New Jersey,HP Color Laserjet Pro MFP m479fdn,6 months of Instant Ink,83.99325
Kansas,HP Color Laserjet M751,no free month,52.611526
Texas,HP Laserjet M501dn,6 months of Instant Ink,156.38387
Pennsylvania,HP ColorLaserjet Pro MFP 4301FDW,no free month,110.914345
Texas,HP LaserJet M806X,3 months of Instant Ink,140.06905
Indiana,hp LaserJet 4350,9 months of Instant Ink,111.6123
Kansas,HP Color LaserJet M555dn,no free month,46.59497
Tennessee,HP LaserJet M607,9 months of Instant Ink,132.03557
Nebraska,HP Laserjet Enterprise M554,9 months of Instant Ink,122.63772
Ohio,hp LaserJet 4350,6 months of Instant Ink,149.35591
North Dakota,HP LaserJet P3010 Series,6 months of Instant Ink,126.30041
Michigan,HP Color Laserjet Pro MFP m479fdw ,no free month,71.77677
Iowa,HP LaserJet M607,3 months of Instant Ink,77.000885
North Dakota,HP Color LaserJet CP4520 Series,6 months of Instant Ink,77.42845
New Mexico,HP Color LaserJet CP5520 Series,6 months of Instant Ink,74.35245
Rhode Island,HP LaserJet 700 M712,3 months of Instant Ink,120.672066
Maryland,hp color LaserJet 5550,9 months of Instant Ink,126.77702
New Hampshire,HP Laserjet M425dn,3 months of Instant Ink,126.485725
Tennessee,HP LaserJet M610,3 months of Instant Ink,133.55565
Idaho,HP LaserJet M610,3 months of Instant Ink,76.60063
Massachusetts,HP LaserJet 600 M602,no free month,85.77139
Connecticut,HP LaserJet M610,6 months of Instant Ink,67.706406
Arkansas,HP Color LaserJet CP5520 Series,3 months of Instant Ink,13.579842
Oklahoma,HP LaserJet P4015,9 months of Instant Ink,133.7786
New York,HP Color LaserJet CP5225n,no free month,78.031006
Montana,HP Laserjet M611dn,no free month,133.17618
Pennsylvania,HP LaserJet 700 M712,3 months of Instant Ink,118.51941
Montana,HP Designjet Z6 (Large Format),3 months of Instant Ink,81.98095
Michigan,hp LaserJet 4350,9 months of Instant Ink,127.71349
Missouri,HP Laserjet M551,6 months of Instant Ink,126.22247
Kansas,HP ColorLaserjet Pro MFP 4301FDW,no free month,63.60958
Washington,HP LaserJet M610,no free month,148.6745
Indiana,HP LaserJet 5200,9 months of Instant Ink,66.598854
Delaware,HP Color LaserJet M555dn,9 months of Instant Ink,27.4384
Missouri,HP ColorLaserJet 255dw,no free month,80.36627
Arkansas,HP LaserJet 600 M602,6 months of Instant Ink,51.44093
Kentucky,HP ColorLaserjet Pro MFP 4301FDW,3 months of Instant Ink,61.68666
Alabama,hp color LaserJet 5550,3 months of Instant Ink,87.3761
Indiana,HP LaserJet P3010 Series,3 months of Instant Ink,88.496185
Minnesota,HP Color Laserjet Pro MFP 4301,no free month,69.977356
Mississippi,HP LaserJet M610,6 months of Instant Ink,99.66448
Washington,HP LaserJet 700 M712,no free month,142.69644
Florida,HP LaserJet M609,3 months of Instant Ink,67.671295
Arkansas,HP Color LaserJet CP5225n,no free month,16.96077
Idaho,HP LaserJet 5200,9 months of Instant Ink,63.090294
New York,HP LaserJet M806,3 months of Instant Ink,116.19853
Arizona,HP Color LaserJet CP4520 Series,no free month,13.19827
New Mexico,HP LaserJet 600 M601,9 months of Instant Ink,101.87862
Montana,HP ColorLaserJet 255dw,9 months of Instant Ink,80.88202
Delaware,HP Color Laserjet Pro MFP m479fdw ,3 months of Instant Ink,39.796005
South Carolina,HP LaserJet M609,no free month,131.31361
North Dakota,HP LaserJet 600 M601,3 months of Instant Ink,105.62615
South Dakota,HP LaserJet M806X,6 months of Instant Ink,137.04411
Washington,HP LaserJet P4015,3 months of Instant Ink,152.96538
Massachusetts,HP Color LaserJet M555dn,6 months of Instant Ink,54.21669
Maryland,HP LaserJet M607,6 months of Instant Ink,86.99098
Pennsylvania,HP Laserjet M501dn,6 months of Instant Ink,146.95883
South Dakota,HP LaserJet M609,3 months of Instant Ink,129.26
New Mexico,HP LaserJet M806X,9 months of Instant Ink,119.106224
Maryland,HP LaserJet P4015,3 months of Instant Ink,102.38889
Utah,HP Designjet Z6 (Large Format),no free month,126.08585
California,HP LaserJet P3010 Series,3 months of Instant Ink,70.475815
Oregon,HP ColorLaserJet 255dw,no free month,106.71451
Florida,HP Color Laserjet Pro MFP 4301,no free month,40.52211
Massachusetts,HP Color LaserJet M555dn,6 months of Instant Ink,54.21669
Wyoming,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,131.5603
Hawaii,HP LaserJet 600 M602,no free month,68.033424
Missouri,hp LaserJet 4350,9 months of Instant Ink,132.97633
Nevada,HP LaserJet M806X,9 months of Instant Ink,113.543915
Utah,HP LaserJet 5200,6 months of Instant Ink,126.74695
Alaska,HP Color LaserJet CP5225n,6 months of Instant Ink,9.042563
Kansas,HP Laserjet M501dn,6 months of Instant Ink,106.67485
Maryland,HP Color LaserJet CP5225n,no free month,51.41795
South Dakota,HP Color Laserjet Pro MFP m479fdn,3 months of Instant Ink,106.455894
New York,HP Laserjet M425dn,6 months of Instant Ink,133.11655
Delaware,HP LaserJet P3010 Series,3 months of Instant Ink,76.09233
Indiana,HP LaserJet 600 M602,6 months of Instant Ink,70.92273
Montana,HP Color Laserjet M751,no free month,74.55482
Washington,HP LaserJet 500 color M551,6 months of Instant Ink,131.32443
Indiana,HP Laserjet Enterprise M554,9 months of Instant Ink,98.73698
South Dakota,HP Color LaserJet CP5225n,no free month,97.99079
South Dakota,HP LaserJet M806,6 months of Instant Ink,134.85124
Tennessee,HP Color LaserJet M555dn,3 months of Instant Ink,98.89624
Mississippi,HP Color LaserJet M611X,6 months of Instant Ink,64.81072
Washington,HP LaserJet M806,no free month,150.68471
New Jersey,HP ColorLaserJet 255dw,9 months of Instant Ink,89.679245
Rhode Island,HP Laserjet M501dn,6 months of Instant Ink,148.84383
Nevada,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,85.60132
Georgia,HP Color LaserJet CP5225n,9 months of Instant Ink,27.742996
Arizona,HP Color LaserJet CP4520 Series,9 months of Instant Ink,11.009094
California,HP Color LaserJet CP5225n,3 months of Instant Ink,13.421425
Wisconsin,HP LaserJet M609,9 months of Instant Ink,149.39264
North Carolina,HP LaserJet 500 color M551,9 months of Instant Ink,102.24404
Kentucky,HP LaserJet 600 M602,6 months of Instant Ink,76.18558
Oregon,HP Designjet Z6 (Large Format),6 months of Instant Ink,107.375626
Maryland,HP Laserjet M501dn,3 months of Instant Ink,113.46664
Nevada,hp color LaserJet 5550,3 months of Instant Ink,138.57861
Massachusetts,HP Color LaserJet CP4520 Series,9 months of Instant Ink,50.19155
Georgia,HP Laserjet M501dn,no free month,97.273796
North Dakota,HP Laserjet Enterprise M554,9 months of Instant Ink,135.30032
South Carolina,HP LaserJet M609,6 months of Instant Ink,128.38986
Virginia,HP LaserJet M609,3 months of Instant Ink,140.02332
Maine,HP Color LaserJet M555x,no free month,55.18347
Maine,HP LaserJet P3010 Series,3 months of Instant Ink,97.86519
Alabama,HP Color LaserJet M555dn,6 months of Instant Ink,11.9637
Alabama,HP LaserJet M609,6 months of Instant Ink,54.08066
California,HP Color LaserJet CP4520 Series,9 months of Instant Ink,15.149405
New Hampshire,HP Laserjet M551,6 months of Instant Ink,133.23958
New Jersey,HP LaserJet P4015,9 months of Instant Ink,122.5756
West Virginia,HP Color Laserjet M751,3 months of Instant Ink,117.79759
Wyoming,HP Laserjet M501dn,no free month,171.83633
South Dakota,HP LaserJet 5200,no free month,123.51391
Indiana,HP LaserJet 700 M712,3 months of Instant Ink,72.47717
Maine,HP Laserjet M551,no free month,118.09967
Oregon,HP LaserJet 600 M601,9 months of Instant Ink,115.036316
Minnesota,HP LaserJet P3010 Series,3 months of Instant Ink,104.88231
Michigan,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,72.52891
Delaware,HP Designjet Z6 (Large Format),9 months of Instant Ink,50.342785
New Jersey,HP LaserJet M806,6 months of Instant Ink,113.51303
New Hampshire,HP Color Laserjet Pro MFP m479fdn,no free month,85.14884
Washington,HP LaserJet 600 M601,3 months of Instant Ink,133.77939
Wyoming,HP LaserJet P4015,3 months of Instant Ink,159.34834
Indiana,HP LaserJet M609,6 months of Instant Ink,79.23103
New Hampshire,HP Color Laserjet M751,9 months of Instant Ink,79.462845
Michigan,HP LaserJet M806X,6 months of Instant Ink,101.573586
New Jersey,HP LaserJet 500 color M551,9 months of Instant Ink,95.6652
New Mexico,HP LaserJet 700 M712,9 months of Instant Ink,106.05919
Utah,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,122.405365
Alabama,HP Color LaserJet M555x,9 months of Instant Ink,16.461807
Hawaii,HP Laserjet M425dn,9 months of Instant Ink,95.25449
Alaska,HP Designjet Z6 (Large Format),3 months of Instant Ink,35.861332
Vermont,HP LaserJet M609,3 months of Instant Ink,137.87064
California,HP LaserJet M609,no free month,64.23147
Colorado,HP LaserJet P3010 Series,6 months of Instant Ink,73.63573
Oregon,HP LaserJet 500 color M551,6 months of Instant Ink,109.37071
Louisiana,HP Color LaserJet M555dn,no free month,50.98363
Virginia,HP ColorLaserjet Pro MFP 4301FDW,9 months of Instant Ink,126.79403
Rhode Island,HP LaserJet 600 M601,9 months of Instant Ink,119.422226
Missouri,HP Color LaserJet CP5225n,no free month,62.506725
Wyoming,HP LaserJet 600 M601,9 months of Instant Ink,143.59343
Indiana,HP Color LaserJet M555x,3 months of Instant Ink,39.186943
Delaware,HP LaserJet M607,6 months of Instant Ink,64.48798
Delaware,HP Color Laserjet Pro MFP m479fdw ,6 months of Instant Ink,41.010994
Georgia,HP LaserJet M610,6 months of Instant Ink,73.6823
Hawaii,hp LaserJet 4350,6 months of Instant Ink,104.25754
Alaska,HP Color LaserJet M555dn,9 months of Instant Ink,15.70226
Wisconsin,HP Designjet Z6 (Large Format),3 months of Instant Ink,132.03261
Kentucky,HP ColorLaserJet 255dw,no free month,63.003334
Connecticut,HP Color LaserJet CP5225n,no free month,23.229818
Nevada,hp color LaserJet 5550,3 months of Instant Ink,138.57861
Wisconsin,HP LaserJet M806X,no free month,157.08087
Texas,HP Color LaserJet M555x,6 months of Instant Ink,104.58386
Connecticut,HP Laserjet M501dn,no free month,91.41823
Mississippi,HP LaserJet M610,no free month,102.02276
Montana,HP Color LaserJet M611X,6 months of Instant Ink,69.19937
Arizona,HP Designjet Z6 (Large Format),9 months of Instant Ink,40.624252
Ohio,HP Color Laserjet Pro MFP 4301,3 months of Instant Ink,91.28441
Nevada,HP LaserJet 600 M601,no free month,96.95727
Pennsylvania,HP LaserJet 600 M601,3 months of Instant Ink,114.2368
New Mexico,HP LaserJet 5200,3 months of Instant Ink,97.02686
Pennsylvania,HP Color LaserJet M611X,no free month,98.88123
South Dakota,HP Color Laserjet Pro MFP m479fdw ,9 months of Instant Ink,111.81135
Utah,HP LaserJet P4015,9 months of Instant Ink,149.04315
Illinois,HP LaserJet M607,3 months of Instant Ink,73.49233
Missouri,HP Color LaserJet CP4520 Series,no free month,60.697544
New Hampshire,HP LaserJet M806X,9 months of Instant Ink,115.39045
Indiana,HP Color Laserjet M751,3 months of Instant Ink,43.3012
Michigan,HP LaserJet M806X,9 months of Instant Ink,102.78858
Maine,HP Color LaserJet M611X,6 months of Instant Ink,53.839066
Connecticut,HP LaserJet M609,3 months of Instant Ink,63.702908
Nebraska,HP LaserJet M609,no free month,104.83556
Kentucky,HP LaserJet 600 M602,6 months of Instant Ink,76.18558
Arkansas,HP Color Laserjet Pro MFP m479fdw ,no free month,36.577595
North Dakota,HP ColorLaserjet Pro MFP 4301FDW,6 months of Instant Ink,98.787125
Delaware,HP Laserjet M611dn,3 months of Instant Ink,94.51189
Alaska,HP LaserJet Pro 4001dn,3 months of Instant Ink,70.46443
